Title,Poster,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Warriors of Future,https://image.tmdb.org/t/p/w500//2l9LbxBSkJseoxYcIJjclnmxyq.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Madagascar: A Little Wild Holiday Goose Chase,https://image.tmdb.org/t/p/w500//h6TUQegjmCafQMswFW0SgCM3JeK.jpg,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trick or Treat Scooby-Doo!,https://image.tmdb.org/t/p/w500//r4ZDV5Xm8qrbG2TIPlocs2wJxHL.jpg,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Black Widow,https://image.tmdb.org/t/p/w500//kwB7d51AIcyzPOBOHLCEZJkmPhQ.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
El asistente,https://image.tmdb.org/t/p/w500//oA7E73LT4xIgPOiix9lvIvYhM4Z.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Fate of the Furious,https://image.tmdb.org/t/p/w500//dImWM7GJqryWJO9LHa3XQ8DD5NH.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Deadpool 2,https://image.tmdb.org/t/p/w500//to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Writer's Odyssey,https://image.tmdb.org/t/p/w500//sMLOkezoaVuN08QiqJZ5aL8t73G.jpg,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Blueback,https://image.tmdb.org/t/p/w500//5cWXJJsPRuz85zAK7XXmu9Vfdu2.jpg,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Through My Window,https://image.tmdb.org/t/p/w500//6gg7fvKc1ZxP9yCczweSxIGYp4S.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Eureka: Eureka Seven Hi-Evolution,https://image.tmdb.org/t/p/w500//vtTSvyjgfgQ6ASiiwxHgmC2LrmV.jpg,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Twilight,https://image.tmdb.org/t/p/w500//60IEwC4FaHSRpVEAM6iNpXZ5oSA.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Finding Nemo,https://image.tmdb.org/t/p/w500//5lc6nQc0VhWFYFbNv016xze8Jvy.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dragon Ball Z: Broly – The Legendary Super Saiyan,https://image.tmdb.org/t/p/w500//6iO8TJCyLI4BiPYOvdwzPV2bhoV.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Spirited Away,https://image.tmdb.org/t/p/w500//39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Amazing Spider-Man,https://image.tmdb.org/t/p/w500//jIfkQNARYyERqRAq1p1c8xgePp4.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ODDTAXI in the Woods,https://image.tmdb.org/t/p/w500//1WV5PlS46v5FU8D6AgIUeA0fj7o.jpg,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Lord of the Rings: The Two Towers,https://image.tmdb.org/t/p/w500//5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Superfast!,https://image.tmdb.org/t/p/w500//iuIWl90qCpoxv6g775JB6Kg0m86.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kung Fu Panda,https://image.tmdb.org/t/p/w500//wWt4JYXTg5Wr3xBW2phBrMKgp3x.jpg,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jurassic World,https://image.tmdb.org/t/p/w500//A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Space Jam: A New Legacy,https://image.tmdb.org/t/p/w500//5bFK5d3mVTAvBCXi5NPWH0tYjKl.jpg,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
The Lion King,https://image.tmdb.org/t/p/w500//dzBtMocZuJbjLOXvrl4zGYigDzh.jpg,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Amazing Spider-Man 2,https://image.tmdb.org/t/p/w500//c3e9e18SSlvFd1cQaGmUj5tqL5P.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Puss in Boots,https://image.tmdb.org/t/p/w500//eufJ36oQCauDc427ewaEvQrhZ6i.jpg,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Watcher,https://image.tmdb.org/t/p/w500//dXCjoI3jdtBrwPHgVsyNLkl8Rvs.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Day Shift,https://image.tmdb.org/t/p/w500//bI7lGR5HuYlENlp11brKUAaPHuO.jpg,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Ted 2,https://image.tmdb.org/t/p/w500//220fvwTHqV7nNpRpZItmbVCHLjC.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hellraiser,https://image.tmdb.org/t/p/w500//f9ZAIUxTTk23vo1BC9Ur1Rx5c2E.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
San Andreas,https://image.tmdb.org/t/p/w500//2Gfjn962aaFSD6eST6QU3oLDZTo.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Inexorable,https://image.tmdb.org/t/p/w500//cIdnkWNpEO7pwCUV3Jv5qKiKTlt.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jungle Cruise,https://image.tmdb.org/t/p/w500//9dKCd55IuTT5QRs989m9Qlb7d2B.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Scary Movie,https://image.tmdb.org/t/p/w500//lRQiJXETkCnVVurHmglNvMXrZOx.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dungeons & Dragons,https://image.tmdb.org/t/p/w500//bbVFeTA4vv7gqXb8dPzxTg9j2gr.jpg,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
It Chapter Two,https://image.tmdb.org/t/p/w500//zfE0R94v1E8cuKAerbskfD3VfUt.jpg,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Thor,https://image.tmdb.org/t/p/w500//prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,https://image.tmdb.org/t/p/w500//rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Hip Hop Nutcracker,https://image.tmdb.org/t/p/w500//iqOGxcKViTtU7pwC24xUb1bDslw.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Don't Open the Door,https://image.tmdb.org/t/p/w500//qumlmYYopqgAQUdwT9wgVyhxBBb.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
No Exit,https://image.tmdb.org/t/p/w500//5cnLoWq9o5tuLe1Zq4BTX4LwZ2B.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Three Steps Above Heaven,https://image.tmdb.org/t/p/w500//fcFz2xEZodKOxHDn9DazxPYHDSc.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Up,https://image.tmdb.org/t/p/w500//mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"The Gangster, the Cop, the Devil",https://image.tmdb.org/t/p/w500//oHlM4abRm6BzrRcz9Nup1uidw9H.jpg,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emancipation,https://image.tmdb.org/t/p/w500//s9sUK1vAaOcxJfKzNTszrNkPhkH.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Nun,https://image.tmdb.org/t/p/w500//sFC1ElvoKGdHJIWRpNB3xWJ9lJA.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
The Pope: Answers,https://image.tmdb.org/t/p/w500//dqyzHNor7wEYhWRzVRrEuvqbCkU.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Grown Ups,https://image.tmdb.org/t/p/w500//cQGM5k1NtU85n4TUlrOrwijSCcm.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Fallout,https://image.tmdb.org/t/p/w500//y94auaBWq1E7sun3ZpvBmQfGUW.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
You Won't Be Alone,https://image.tmdb.org/t/p/w500//45W9ViL5ilurSLVzBEybYXHrxEJ.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Top Gun,https://image.tmdb.org/t/p/w500//xUuHj3CgmZQ9P2cMaqQs4J0d4Zc.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Girl at the Window,https://image.tmdb.org/t/p/w500//y8PhaJDd4YcYX7DVKJxoDwBUCZO.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Kingsman: The Secret Service,https://image.tmdb.org/t/p/w500//ay7xwXn1G9fzX9TUBlkGA584rGi.jpg,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mira,https://image.tmdb.org/t/p/w500//99mMhtwTOykO1WUd8R3qm7ybjXJ.jpg,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Furious 7,https://image.tmdb.org/t/p/w500//wurKlC3VKUgcfsn0K51MJYEleS2.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Captain America: Civil War,https://image.tmdb.org/t/p/w500//rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The SpongeBob Movie: Sponge on the Run,https://image.tmdb.org/t/p/w500//jlJ8nDhMhCYJuzOw3f52CP1W8MW.jpg,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Renfield,https://image.tmdb.org/t/p/w500//p6yUjhvNGQpFZilKwOKbxQ1eHlo.jpg,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Paws of Fury: The Legend of Hank,https://image.tmdb.org/t/p/w500//wMDUDwAArpfGdtTTZ25SfwngGwt.jpg,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The Princess,https://image.tmdb.org/t/p/w500//9pCoqX24a6rE981fY1O3PmhiwrB.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cars,https://image.tmdb.org/t/p/w500//u4G8EkiIBZYx0wEg2xDlXZigTOZ.jpg,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My Hero Academia: Heroes Rising,https://image.tmdb.org/t/p/w500//zGVbrulkupqpbwgiNedkJPyQum4.jpg,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Finch,https://image.tmdb.org/t/p/w500//jKuDyqx7jrjiR9cDzB5pxzhJAdv.jpg,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The Unholy,https://image.tmdb.org/t/p/w500//bShgiEQoPnWdw4LBrYT5u18JF34.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
In His Shadow,https://image.tmdb.org/t/p/w500//ooyH5mGWvN3ZJOSqTBntlQ8Iail.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Green Mile,https://image.tmdb.org/t/p/w500//o0lO84GI7qrG6XFvtsPOSV7CTNa.jpg,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Twilight Saga: Eclipse,https://image.tmdb.org/t/p/w500//3mFM80dPzSqoXXuC2UMvLIRWX32.jpg,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Balik Taya,https://image.tmdb.org/t/p/w500//trLpLXpgPbmnVYFXEMN8wt3vErv.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Star Wars,https://image.tmdb.org/t/p/w500//6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Office Invasion,https://image.tmdb.org/t/p/w500//khcVwO0gwguC1CndbxtH1bzk4aj.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
My Girlfriend's Mother 2,https://image.tmdb.org/t/p/w500//5OMeVCF5jZpCrrvJNEMMP0vOoIH.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Decision to Leave,https://image.tmdb.org/t/p/w500//TDaXKGBqJUSbCQ9XjkrJs8GYuU.jpg,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
The Requin,https://image.tmdb.org/t/p/w500//i0z8g2VRZP3dhVvvSMilbOZMKqR.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
The Tiger's Nest,https://image.tmdb.org/t/p/w500//1oZFVPrdMbmEchJkGWr9T5mVeZ7.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Still Time,https://image.tmdb.org/t/p/w500//gGtzr9huoZFm0SoQmXYAAcwO4ty.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Ice Age: Dawn of the Dinosaurs,https://image.tmdb.org/t/p/w500//cXOLaxcNjNAYmEx1trZxOTKhK3Q.jpg,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Friends with Benefits,https://image.tmdb.org/t/p/w500//nY2PWou1TP0DMY4my4r4LAa5Ytl.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Curse of La Llorona,https://image.tmdb.org/t/p/w500//jhZlXSnFUpNiLAek9EkPrtLEWQI.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Batman and Superman: Battle of the Super Sons,https://image.tmdb.org/t/p/w500//mvffaexT5kA3chOnGxwBSlRoshh.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Looks Can Kill,https://image.tmdb.org/t/p/w500//1uy2PNFwtkqH3mhGd6irk5aeIrF.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bad Luck Banging or Loony Porn,https://image.tmdb.org/t/p/w500//zUTkjET8VUwvbvSHtn0Lou7xwyZ.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overdose,https://image.tmdb.org/t/p/w500//9RvM4wawLRlX608FgZr9kL8CLmy.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jumanji: The Next Level,https://image.tmdb.org/t/p/w500//jyw8VKYEiM1UDzPB7NsisUgBeJ8.jpg,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Green Book,https://image.tmdb.org/t/p/w500//7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mortal Kombat Legends: Snow Blind,https://image.tmdb.org/t/p/w500//jtsq5Vc4auAguReZqCUvRGHUWuq.jpg,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Remaining,https://image.tmdb.org/t/p/w500//sjw5d110lXV4tWgqKG1hGOphchT.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Parasite,https://image.tmdb.org/t/p/w500//7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Justice League,https://image.tmdb.org/t/p/w500//eifGNCSDuxJeS1loAXil5bIGgvC.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Margaux,https://image.tmdb.org/t/p/w500//uNzgeMetu9l4q9NDw7gtiUFwPOJ.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Virus:32,https://image.tmdb.org/t/p/w500//wZiF79hbhLK1U2Pj9bF67NAKXQR.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Corpse Bride,https://image.tmdb.org/t/p/w500//isb2Qow76GpqYmsSyfdMfsYAjts.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Prometheus,https://image.tmdb.org/t/p/w500//qsYQflQhOuhDpQ0W2aOcwqgDAeI.jpg,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Joker,https://image.tmdb.org/t/p/w500//udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
My Hero Academia: Two Heroes,https://image.tmdb.org/t/p/w500//hC4nTxdhXqFWzgqynGvvXVMiMNp.jpg,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Banshees of Inisherin,https://image.tmdb.org/t/p/w500//4yFG6cSPaCaPhyJ1vtGOtMD1lgh.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Quiet Place,https://image.tmdb.org/t/p/w500//nAU74GmpUk7t5iklEp3bufwDq4n.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
The Contractor,https://image.tmdb.org/t/p/w500//rJPGPZ5soaG27MK90oKpioSiJE2.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
No Time to Die,https://image.tmdb.org/t/p/w500//iUgygt3fscRoKWCV1d0C7FbM9TP.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Hunger Games: Catching Fire,https://image.tmdb.org/t/p/w500//vrQHDXjVmbYzadOXQ0UaObunoy2.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Scream 4,https://image.tmdb.org/t/p/w500//iENnwz4Xa0DDnarnWIFvMdgOJAi.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Risen,https://image.tmdb.org/t/p/w500//bJfls3xZqEyPyXWONQLcMX6KxIC.jpg,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Pacific Rim,https://image.tmdb.org/t/p/w500//8wo4eN8dWKaKlxhSvBz19uvj8gA.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Oscenità,https://image.tmdb.org/t/p/w500//gIEqumdBvEBGZXPvAAuPHu8Z8r2.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Simpsons Movie,https://image.tmdb.org/t/p/w500//gzb6P78zeFTnv9eoFYnaJ2YrZ5q.jpg,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Inception,https://image.tmdb.org/t/p/w500//edv5CZvWj09upOsy2Y6IwDhK8bt.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Parent Trap,https://image.tmdb.org/t/p/w500//dNqgjqxHIdfsQRQL5XTujNfX9pj.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wire Room,https://image.tmdb.org/t/p/w500//b9ykj4v8ykjRoGB7SpI1OuxblNU.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,https://image.tmdb.org/t/p/w500//zaqam2RNscH5ooYFWInV6hjx6y5.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ant-Man and the Wasp,https://image.tmdb.org/t/p/w500//2mnK5VtjzYRWvQB1zLhZWtAJwzk.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Hunger Games: Mockingjay - Part 2,https://image.tmdb.org/t/p/w500//lImKHDfExAulp16grYm8zD5eONE.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dead for a Dollar,https://image.tmdb.org/t/p/w500//1AnXfjxFqMsQmUPSvt9YxUJhfFw.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Toy Story 3,https://image.tmdb.org/t/p/w500//jSzisjO4vcE0dxuzfsl979HIwmS.jpg,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Terminator Genisys,https://image.tmdb.org/t/p/w500//oZRVDpNtmHk8M1VYy1aeOWUXgbC.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2037,https://image.tmdb.org/t/p/w500//oNeJclBPZSStWECxE8yVUyWbkvX.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Blacklight,https://image.tmdb.org/t/p/w500//8jIyu2UfEsCYlxg2vFUaHeALeoD.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Tangalanga Method,https://image.tmdb.org/t/p/w500//puKRI1o5DCF4qgoSo5f5J45WVKj.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Percy Jackson & the Olympians: The Lightning Thief,https://image.tmdb.org/t/p/w500//vayx5t1cYCpBGV9ylTGn0Sr9rA2.jpg,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Carter,https://image.tmdb.org/t/p/w500//uzAh3Ub2YttCz13cnyB9PvhpmIL.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mario,https://image.tmdb.org/t/p/w500//jdnkICY5RwbaiS9zBOxkUtbZvxH.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Twilight Saga: Breaking Dawn - Part 2,https://image.tmdb.org/t/p/w500//7IGdPaKujv0BjI0Zd0m0a4CzEjJ.jpg,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Fifty Shades Darker,https://image.tmdb.org/t/p/w500//7CBO9GhsUeMSsWQb47WTPZnKjdj.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Reggie,https://image.tmdb.org/t/p/w500//xMXHVmyYNQMDiPEZPWl5aVlVKG4.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank and Penelope,https://image.tmdb.org/t/p/w500//5NpXoAi3nEQkEgLO09nmotPfyNa.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Toy Story 4,https://image.tmdb.org/t/p/w500//w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
L.O.L. Surprise! Winter Fashion Show,https://image.tmdb.org/t/p/w500//ik65OsEXbik1I0Di7SX9Sqv04e9.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teenage Mutant Ninja Turtles,https://image.tmdb.org/t/p/w500//azL2ThbJMIkts3ZMt3j1YgBUeDB.jpg,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Deinfluencer,https://image.tmdb.org/t/p/w500//tLA4839HtC5GelEsUTFFtAL2ar5.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Catch Me If You Can,https://image.tmdb.org/t/p/w500//sdYgEkKCDPWNU6KnoL4qd8xZ4w7.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Key Game,https://image.tmdb.org/t/p/w500//kffT53riEkORfenIPQl6piOyZQ1.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vacation Friends,https://image.tmdb.org/t/p/w500//uTgZuqUQbaCB6Wfk03N8IUEuzQf.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dungeons & Dragons: Wrath of the Dragon God,https://image.tmdb.org/t/p/w500//m2lMUxyFDi1RXogMffLfQW3CjTE.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Doctor Strange,https://image.tmdb.org/t/p/w500//uGBVj3bEbCoZbDjjl9wTxcygko1.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Noah,https://image.tmdb.org/t/p/w500//vVLkHabnF5lVpCpqyhZBI5iCYMA.jpg,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dragon Ball Z: Wrath of the Dragon,https://image.tmdb.org/t/p/w500//4ybkLEVCvwQEzh7Lq1zsCmda5A4.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fate/Grand Order the Movie: Divine Realm Of The Round Table: Camelot Paladin; Agateram,https://image.tmdb.org/t/p/w500//5GHW8hN8JAXDzid3WDoClz2App5.jpg,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Psychosexual,https://image.tmdb.org/t/p/w500//g5cEKhHn2NSH18FxASF8UT0LfsC.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,https://image.tmdb.org/t/p/w500//rTpw3z1OJkRfCWlIDvS28TCcoXy.jpg,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wonder Woman 1984,https://image.tmdb.org/t/p/w500//8UlWHLMpgZm9bx6QYh0NFoq67TZ.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Dark Knight,https://image.tmdb.org/t/p/w500//qJ2tW6WMUDux911r6m7haRef0WH.jpg,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Evil Dead,https://image.tmdb.org/t/p/w500//uYxQ6xhP3WjqPZtxyAOnZQWnZqn.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Snow White and the Seven Dwarfs,https://image.tmdb.org/t/p/w500//9QKUh9UuIIT2ZA9Rby9R6vtNRKa.jpg,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Bush,https://image.tmdb.org/t/p/w500//xlwt27iWubh6DEiQhc3kyVMjCU5.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Exploits of a Young Don Juan,https://image.tmdb.org/t/p/w500//xvtRgQIRegLjsjaIkKQbh0hk3Qy.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Goodbye, Don Glees!",https://image.tmdb.org/t/p/w500//42bRH1aEUge6Iia7yS18XV3Wpjg.jpg,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
